stock_group,stock_group_cleaned,inv_code,description,units,last_cost,barcode
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103521,PAVLOVA,Kilogram,13.32,*103521*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103562,PAVLOVA - MINI,Each,0.87,*103562*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103522,PLUM PUDDING,Each,0.39,*103522*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103638,SOY UHT MILK 1LT,Litre,2.54,*103638*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103537,SWEET IND 4 inch CAKES,Each,2.32,*103537*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103637,SYRUP TABOO CHAI 750ML,Millilitres,0.02,*103637*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103523,TOPPING CARAMEL,Litre,2.48,*103523*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103538,TOPPING CHOCOLATE,Litre,2.48,*103538*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103533,TOPPING/ STRAW,Litre,2.48,*103533*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103526,TOPPING/MAPLE,Litre,5.42,*103526*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103635,WILDBERRY INDIVIDUAL CAKE,Each,11.82,*103635*
     STOCK GROUP 1035 - DESSERT PURCHASE,DESSERT ,103525,YOGHURT/NATURAL,Kilogram,5.2,*103525*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103630,CHAI TEA,Each,14.3,*103630*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103601,COFFEE BEANS,Kilogram,37,*103601*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103627,COFFEE BEANS ORGANIC,Grams,0.03,*103627*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103620,COFFEE DECAFFEINATED BRICK 250GM,Each,30,*103620*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103619,COFFEE RSC FILTERED 200GM POUCH,Box,26.25,*103619*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103604,DRINKING CHOC,Kilogram,9.05,*103604*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103641,GRINDERS CHAI 2G POUCH,Serve,0.28,*103641*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103642,GRINDERS CHAM 1.5G POUCH,Serve,0.28,*103642*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103643,GRINDERS EARL GREY 2G POUCH,Serve,0.2,*103643*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103622,GRINDERS ENGLISH BREAKFAST 2G POUCH,Serve,0.2,*103622*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103636,GRINDERS ENGLISH BREAKFAST NA,Each,0.15,*103636*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103644,GRINDERS P.MINT 1.5G POUCH,Serve,0.28,*103644*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103640,GRINDERS SENCHA 1.5G POUCH,Serve,0.3,*103640*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103613,MILK FRESH SKINNY,Litre,1.42,*103613*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103612,MILK FRESH/FULL CREAM,Litre,1.3,*103612*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103615,MILK PC FULL CREAM,Each,0.15,*103615*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103606,MILK/UHT SKINNY,Litre,1.45,*103606*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103608,SUGAR PC,Box,28.1,*103608*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103609,SUGAR PC EQUAL,Box,35.85,*103609*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103610,TEA BAGS,Box,38,*103610*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103611,TEA BAGS/ENGLISH TWINING,Packet,17.6,*103611*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103625,TEA LEAVES EARL CHAMOMILE,Grams,0.3,*103625*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103626,TEA LEAVES EARL GREEN SENCHA,Grams,0.04,*103626*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103624,TEA LEAVES EARL GREY,Bag,0.15,*103624*
     STOCK GROUP 1036 - BEVERAGE PURCHASES,BEVERAGE ,103623,TEA LEAVES PEPPERMINT,Bag,0.3,*103623*
